Name,Price,Growth,Monthly Growth,Subs,Funds,Weeks,Trades,Winrate,DD
FRAS,30 USD,138%,Profit/Month: -1%,0,0 USD,91,2 795,70%,33%
Winds of trade,30 USD,151%,Profit/Month: 6%,0,0 USD,80,321,84%,31%
Martimax V1 fbs,30 USD,146%,Profit/Month: 5%,1,20K USD,30,247,84%,17%
Ecjtucjtu01,40 USD,137%,Profit/Month: -7%,0,0 USD,30,417,54%,10%
Quantum trading algorithm,99 USD,145%,Profit/Month: 5%,1,0 USD,84,1 440,83%,11%
Morning Scalping EA,30 USD,132%,Profit/Month: -5%,0,0 USD,61,2 435,51%,34%
GerFX QuantFlow Scalper and NW EA,50 USD,416%,Profit/Month: -2%,0,0 USD,161,4 506,72%,17%
RUSDragon,49 USD,440%,Profit/Month: 55%,0,0 USD,19,365,68%,51%
QRobot,38 USD,931%,Profit/Month: 17%,2,102K USD,95,3 422,69%,54%
Steady growth daily,30 USD,138%,Profit/Month: 10%,0,0 USD,19,758,75%,28%
Steel Desman,30 USD,128%,Profit/Month: 9%,0,0 USD,35,837,76%,26%
Robot JMS,30 USD,127%,Profit/Month: 0%,0,0 USD,39,2 356,50%,14%
Calm Investor,40 USD,133%,Profit/Month: 9%,1,484 USD,58,707,82%,36%
NightWorker,30 USD,326%,Profit/Month: 17%,0,0 USD,72,893,68%,51%
FxclearBridge,30 USD,172%,Profit/Month: 54%,0,0 USD,11,78,80%,21%
Treasure Hunt,30 USD,122%,Profit/Month: 5%,0,0 USD,269,2 147,49%,27%
GoLdenKey,33 USD,151%,Profit/Month: 26%,0,0 USD,14,67,83%,34%
Trendstrategie,30 USD,227%,Profit/Month: 41%,1,2.9K USD,10,993,67%,40%
AS Pushkin PAMM INVEST,30 USD,342%,Profit/Month: 7%,0,0 USD,103,2 309,74%,52%
STABILITY20 PRO,30 USD,104%,Profit/Month: 0%,5,1.7K USD,20,200,63%,20%
PROTOTYPE,35 USD,126%,Profit/Month: 15%,0,0 USD,23,102,72%,36%
MYbingying7,30 USD,149%,Profit/Month: 15%,0,0 USD,18,2 893,68%,32%
Lv1,30 USD,134%,Profit/Month: 36%,0,0 USD,11,1 040,68%,23%
Day and Night Trading,30 USD,117%,Profit/Month: -7%,0,0 USD,156,6 136,66%,35%
Marty,30 USD,233%,Profit/Month: 1%,0,0 USD,161,709,74%,30%
Knight v1,30 USD,137%,Profit/Month: 10%,1,4.8K USD,22,382,74%,7%
DUNSHAN,30 USD,118%,Profit/Month: 2%,1,0 USD,105,560,71%,13%
Master Gold EA HotForex,89 USD,161%,Profit/Month: 5%,1,5.7K USD,14,1 738,60%,47%
MERCURY USDJPY R4,49 USD,2 258%,Profit/Month: 7%,0,0 USD,47,176,75%,57%
EURO USD TRADING,30 USD,114%,Profit/Month: 3%,0,0 USD,115,1 038,66%,31%
DUNSHAN2,30 USD,118%,Profit/Month: 2%,0,0 USD,31,171,49%,31%
AutoBots,30 USD,113%,Profit/Month: 7%,0,0 USD,21,208,68%,12%
Martin2017,40 USD,767%,Profit/Month: 3%,0,0 USD,179,6 713,81%,44%
DAM 152,30 USD,112%,Profit/Month: 6%,0,0 USD,86,5 861,61%,12%
Mega 2,30 USD,593%,Profit/Month: 1%,0,0 USD,66,1 784,94%,47%
SAFE FOREX,30 USD,111%,Profit/Month: 5%,0,0 USD,64,2 103,69%,24%
Jack,30 USD,111%,Profit/Month: 1%,0,0 USD,140,1 041,62%,7%
GBALONGASIA,30 USD,111%,Profit/Month: 4%,0,0 USD,48,1 234,66%,34%
ICM index,30 USD,116%,Profit/Month: 1%,0,0 USD,64,297,73%,26%
HashtagINVESTMENT,67 USD,114%,Profit/Month: 14%,1,8.1K USD,21,1 511,58%,34%
Algo Hybrid Strategy,30 USD,110%,Profit/Month: -2%,0,0 USD,19,77,58%,6%
Solnce 3,30 USD,109%,Profit/Month: -4%,0,0 USD,114,1 720,71%,39%
Money To Money,30 USD,108%,Profit/Month: -10%,0,0 USD,21,94,50%,30%
TBS4 fin MultiTF,40 USD,109%,Profit/Month: -10%,0,0 USD,35,155,34%,15%
CruiserPro86,30 USD,247%,Profit/Month: 7%,0,0 USD,39,7 347,66%,45%
Bubble gum,40 USD,264%,Profit/Month: 48%,1,8.1K USD,16,2 287,74%,49%
Jyscalper12,30 USD,107%,Profit/Month: -9%,0,0 USD,67,4 624,69%,29%
FX Future,30 USD,110%,Profit/Month: 5%,2,731 USD,17,1 256,81%,15%
BST EA moderate aggressive strategy,30 USD,107%,Profit/Month: 18%,0,0 USD,104,1 534,65%,27%
WebMasterMaksim Q,30 USD,105%,Profit/Month: 3%,0,0 USD,113,1 245,65%,28%
H1Signals,30 USD,127%,Profit/Month: -13%,0,0 USD,38,348,43%,25%
ECH5AUTO,30 USD,105%,Profit/Month: 17%,0,0 USD,25,165,68%,21%
Afterburner EA,30 USD,113%,Profit/Month: 1%,0,0 USD,227,2 436,63%,26%
Santo Vibby,1000 USD,344%,Profit/Month: 27%,0,0 USD,13,828,67%,35%
MS 50 7278670,30 USD,111%,Profit/Month: 13%,0,0 USD,25,326,82%,34%
Robotrading ICM High Risk,100 USD,130%,Profit/Month: 17%,0,0 USD,22,617,78%,46%
GBAMt4accountA,30 USD,103%,Profit/Month: -2%,0,0 USD,55,260,68%,13%
Excellent signal,30 USD,104%,Profit/Month: 7%,0,0 USD,50,2 053,70%,14%
Fund Manager,30 USD,135%,Profit/Month: 1%,1,57K USD,104,2 206,86%,44%
OrderGrid_Vika,30 USD,266%,Profit/Month: 14%,0,0 USD,79,572,94%,47%
LowRisk Trading,30 USD,106%,Profit/Month: 17%,0,0 USD,37,1 278,81%,25%
MOCtrade 1st Gen,300 USD,293%,Profit/Month: 11%,0,0 USD,63,184,84%,37%
DLB,30 USD,161%,Profit/Month: 13%,1,1.1K USD,24,1 333,84%,24%
Huang yongjian,30 USD,110%,Profit/Month: 18%,0,0 USD,10,392,68%,34%
XavierTrader,30 USD,153%,Profit/Month: -7%,0,0 USD,21,429,78%,48%
Calm investing,30 USD,235%,Profit/Month: 7%,19,32K USD,36,245,97%,30%
CYKJ,60 USD,102%,Profit/Month: 14%,0,0 USD,73,1 616,78%,34%
TapeTrading,30 USD,100%,Profit/Month: 1%,0,0 USD,113,1 221,66%,11%
Ramobomb1,100 USD,181%,Profit/Month: 3%,0,0 USD,83,198,91%,23%
H4 4,30 USD,101%,Profit/Month: 10%,1,3.8K USD,19,220,77%,11%
Elhassan Aly Hassan Morgan,150 USD,133%,Profit/Month: 3%,0,0 USD,25,125,68%,27%
Basket Trend Trading,30 USD,20%,Profit/Month: 3%,0,0 USD,134,2 342,61%,25%
TanacityPRO,50 USD,99%,Profit/Month: 2%,0,0 USD,52,1 431,43%,35%
HappyCash168 Oanda MT4,30 USD,100%,Profit/Month: -2%,0,0 USD,21,124,60%,17%
